Count of A1C Result Value,A1c Min Value,A1c Avg Value,A1c Max Value
12,5.6,6.06,6.6
12,6.8,8.15,9.4
3,11.8,12.53,12.9
2,5.5,5.55,5.6
6,8.6,9.37,10
5,6.6,7.02,7.5
3,6.9,7.4,7.9
6,6.4,8.4,11.4
8,8.1,8.93,9.7
2,5.5,5.55,5.6
9,6.3,7.18,8.4
6,7.7,8.22,8.9
5,5.6,5.9,6.1
5,9.2,10.84,12.4
8,7.3,7.94,9
6,7.4,7.68,8.5
4,11.3,11.78,12.9
4,8.2,8.75,9.9
7,7.2,8.09,8.9
2,7.5,8.75,10
4,9.8,10.13,10.6
4,7.3,8.28,9.4
6,8.1,9.02,9.9
6,8.6,9.68,11.6
5,8.6,9.6,10.1
6,7.2,8.15,10.3
4,6.9,8.4,9.6
10,7.6,10.26,13
5,10.4,11.48,12.9
4,8.3,9.28,9.9
2,5.6,5.8,6
11,8.1,9.85,11.7
3,6.5,7.67,8.5
3,11.5,13.73,16.9
4,6.5,7.35,8.3
5,8.6,10.02,11.3
5,7.2,7.94,8.4
5,7.9,8.44,9.1
1,9.8,9.8,9.8
7,7.5,8.43,10.4
1,13.9,13.9,13.9
1,5.2,5.2,5.2
3,5.5,5.67,6
3,5.8,6.2,6.8
3,6.5,6.63,6.8
10,6.9,8.31,9.6
14,6,6.75,7.7
6,7,8,9.1
10,6.7,7.26,7.8
2,8.4,8.55,8.7
5,8.1,9.56,10.6
5,6.4,6.7,7.2
1,7.2,7.2,7.2
3,5.3,5.5,5.8
4,7.2,7.7,8.2
8,10,12.3,14
3,8.7,15.4,19
5,6.7,7.04,7.4
1,5.9,5.9,5.9
7,7.1,8.39,10.8
8,6.9,8.23,9.5
2,5.2,5.35,5.5
6,6.5,6.83,7.1
8,7.5,8.79,9.7
6,4.6,4.92,5.4
6,8.5,8.92,9.5
9,6.8,7.52,8.6
4,8.9,9.8,10.2
4,8.8,9.08,9.7
10,7.3,8.24,9
4,7,7.15,7.5
12,6.4,7.85,9.3
5,7.2,7.46,7.8
10,7.2,9.35,12.6
6,7,8.67,11
6,8.9,9.63,10.8
11,5,5.71,6.2
5,6.3,7.24,8.2
11,5.6,6.42,6.8
6,5.9,6.27,6.9
5,6.9,7.36,7.9
3,6.8,7.13,7.3
9,6.5,7.2,9
2,7.2,7.35,7.5
4,10,11.08,11.9
6,5.5,6.7,9
1,12.9,12.9,12.9
5,6.4,7.36,8.2
4,6.1,6.55,7
6,5.9,6,6.1
9,5.6,7.29,9.4
5,5.9,6.12,6.3
8,9,11.2,14.4
5,7.7,8.44,9.4
7,6.3,6.87,8.4
6,5.5,5.63,5.8
2,7.9,8.05,8.2
8,6.7,7.05,7.9
9,5.9,7.64,9.2
6,7.5,8.1,8.8
5,5.9,6.76,8.2
7,8,9,11
4,11.5,13.23,14.3
7,6.1,8.24,9.6
5,8.4,8.78,9.2
9,5.1,5.64,6.1
5,5.6,5.84,6.2
2,7.5,8,8.5
6,7.2,8.78,10.7
4,7.7,8.43,9
6,7.1,8.08,8.8
8,7.1,7.91,8.7
9,10.2,11.06,12.1
10,7.4,7.81,8.7
6,7.4,7.65,8.3
8,7.5,7.95,8.5
9,5.6,6.21,6.7
2,7.4,7.5,7.6
6,6.9,7.57,8.2
6,7,8.07,9.2
2,8.8,8.95,9.1
4,6.3,6.68,7.3
3,6.2,6.23,6.3
6,5.9,6.08,6.3
6,6.9,8.13,9.4
5,7.8,9.4,10.8
1,11.8,11.8,11.8
4,5.7,5.98,6.3
5,7.9,8.54,9.3
7,5.7,7,8.7
4,6.5,6.68,7
5,6,8.04,10.2
7,6.5,7.16,8.1
6,7.2,7.75,8.2
4,5,7.53,13.8
7,5.8,6.26,7.3
5,5.3,6.1,6.4
8,7.3,8.54,9.2
6,7.2,7.72,8.2
7,5.1,6.47,8.4
4,6.9,7.7,8.1
4,8.3,9.63,10.8
6,8,8.82,10.2
4,4.8,4.9,5
4,7.8,9.58,11.3
7,5.7,6.33,7.8
4,7.1,7.95,8.3
2,7,7.1,7.2
5,7.6,8.32,9.2
3,6.4,6.77,7.1
6,6.4,6.72,7.2
12,6.2,8.43,10
5,6.6,8.02,9.2
3,9.1,9.5,10
6,11.6,13.38,15.6
5,7.6,7.92,8.1
4,6.9,7.93,8.3
6,8.2,9.98,11.6
13,6.5,7.92,11.2
4,6.3,6.95,7.6
5,10,10.82,12
8,7,8.29,9.4
9,5.5,7,8.8
2,7.1,7.1,7.1
8,6,7.66,9.5
5,6.5,7.12,7.8
3,9.6,10.43,11.2
5,5.8,5.92,6.1
4,6.4,6.9,7.1
5,6.3,7.02,7.6
8,9.2,10.39,11.4
4,7.8,8.53,9.4
4,5.1,6.28,6.9
3,8.4,8.73,9
6,6.7,7.77,8.8
3,10.3,10.67,11
4,7,7.5,8
6,8.1,8.83,9.9
9,6.6,6.92,7.6
7,4.3,5.81,6.5
9,6.5,8.78,12.2
8,6.6,7.5,8.4
2,7.6,8.3,9
6,5.4,6.78,9.8
4,6.2,6.85,7.5
8,6.4,7.41,9
4,5.4,5.73,5.9
7,6.7,7.14,8.5
3,6.3,6.37,6.5
4,6.9,8.35,11.1
10,5.6,5.81,6
7,6.1,7,8.5
11,8.1,8.76,9.8
1,9.4,9.4,9.4
8,6,7.65,10.3
8,7.3,8.89,10
1,6.7,6.7,6.7
4,8.8,9.75,10.4
2,6.7,7.2,7.7
9,6.2,7.52,9.7
10,4.2,6.47,7.7
5,6.7,7.32,8.8
9,7.3,8.19,9
3,7.2,8,8.6
3,9.3,9.87,10.8
8,6.6,7.05,8.1
6,7.2,8,10.1
4,10,12.55,14
4,5.8,6.23,6.9
2,9.5,10.15,10.8
3,5.9,7.33,9
3,9.2,11.1,12.6
5,6.5,7.1,7.9
7,9.3,10.51,13.3
1,8.5,8.5,8.5
2,7.5,8.2,8.9
6,7.2,8.35,9.4
4,8,9.38,11.2
8,6.1,6.81,7.4
2,6.2,6.6,7
1,8.1,8.1,8.1
4,8,8.33,8.6
5,7.3,8.82,10.2
2,12.3,13.15,14
3,7,7.67,8.6
13,5.5,5.98,6.4
7,5.9,7.07,8.4
3,6.1,6.3,6.6
5,7.4,7.68,7.9
10,7.5,7.96,8.8
7,4.9,7.01,13.2
6,6.4,7.75,9
3,6.3,7.13,7.9
6,6.3,6.82,7.4
7,7.3,8.26,9.4
3,5.9,6.13,6.3
1,6.8,6.8,6.8
5,8.5,10.04,11.1
12,8,8.68,9.3
2,8.3,8.4,8.5
6,8.7,9.2,9.6
7,7.3,7.83,8.6
5,7.6,7.98,8.3
5,6.9,7.4,8.2
3,8.4,8.83,9.5
5,6.5,7.02,7.6
4,7.5,7.55,7.7
5,5.6,5.86,6.5
4,6.2,6.48,7
8,6.5,6.88,7.3
4,4.3,6.13,7.1
4,7.4,8.4,9.2
8,6.9,7.44,8.3
9,6.9,8.61,10.2
6,6.9,7.6,8.2
6,6.6,7.45,8.8
6,6.8,8.18,9.1
3,6.5,6.8,7.1
4,7,8.18,10.6
5,7.2,7.94,8.7
8,7.9,8.6,9.6
3,5.5,5.7,5.9
2,5.9,6.75,7.6
6,5.9,6.6,7.3
2,7.5,7.85,8.2
8,7.9,8.7,10.7
2,6.4,6.9,7.4
4,8.4,9.75,11
2,7.9,8.05,8.2
2,6.4,6.7,7
5,5.7,6.22,6.9
2,7.9,8.35,8.8
5,7.9,8.66,9.8
6,6.6,6.82,7.2
10,6.5,6.8,7.1
4,7,7.3,7.7
5,6.4,7.26,8.3
4,9,11.88,14
2,5.9,6.3,6.7
3,6.4,6.57,6.7
3,7.4,7.53,7.8
2,8.2,8.25,8.3
15,6.7,8.39,9.8
4,5.4,5.48,5.7
6,6.4,6.65,6.9
7,6,6.73,7.4
3,6.8,7.33,7.7
6,5.9,6.65,7.4
5,7.4,8.14,8.7
4,5.8,9.68,13.5
7,5.7,7.03,8.3
5,8.3,8.64,9.2
3,7.3,7.83,8.3
8,6.4,7.2,9.3
6,7.1,8.93,13.5
8,5.6,6.08,6.7
2,8.3,8.4,8.5
10,7.2,7.78,8.9
13,5.5,7.13,9.4
5,8,8.68,9.8
6,7.8,8.43,9.6
13,5.6,7.28,9.6
3,7.1,8.07,9.8
3,6.7,7.17,7.7
1,7.6,7.6,7.6
3,7.3,8.2,9.8
8,10.4,14.3,19.5
3,7.8,8.07,8.4
2,6.9,8.1,9.3
2,12.5,12.95,13.4
3,8.9,9.33,10.1
7,12.7,14.19,15
4,7.2,7.35,7.4
21,8.8,10.58,13.1
3,9.6,10.2,11.4
3,6.5,6.93,7.2
5,10.4,12.42,14
4,8.1,9.58,10.8
14,5.4,7.83,10.4
8,7.6,9.81,12.2
4,6.5,7.45,8.6
3,6.5,9.1,11.3
6,7,7.2,7.4
5,7.8,7.96,8.2
4,6,6.35,6.5
2,7.1,7.2,7.3
4,6.2,6.38,6.5
5,9.2,10.3,11.6
7,6.7,9.21,14
4,7.8,8.48,9.1
2,6.8,7.4,8
4,7.8,7.98,8.1
4,7.3,8.03,8.4
5,7,9.3,13.3
12,6.8,8.33,10.4
4,8.6,9,9.3
5,5.7,7.4,9.6
1,7.3,7.3,7.3
7,7.5,8.63,9.5
3,9.7,11.33,13.3
12,7,7.93,9.2
2,6.4,7.4,8.4
8,4.3,4.86,5.3
2,7.2,7.65,8.1
5,6.3,6.58,6.9
1,5.7,5.7,5.7
3,10,11.17,11.8
6,6.7,6.98,7.4
6,6.9,7.15,7.6
4,6.6,7,7.3
7,5.7,7.93,10.4
5,8.5,9.58,10.4
5,6.8,7.94,9.4
10,6.7,6.94,7.2
2,7.7,7.85,8
2,8,8,8
3,6.8,7.23,7.6
4,5.7,6.18,6.6
9,7.2,8.98,10.4
1,9.4,9.4,9.4
4,6.4,6.8,7.6
5,7.4,8.68,11.9
7,5.9,6.09,6.2
7,7.3,8.64,10
6,6.6,7.27,8.3
8,7.1,8.28,9.3
6,6.5,6.95,7.4
4,9,9.6,9.8
11,5.6,7.52,8.5
3,7.2,7.5,7.7
6,7.6,8.43,9.3
3,6.5,7.33,8.1
7,7.8,8.89,10.3
4,7.1,7.35,7.6
6,9.6,10.75,12.4
6,8.1,8.33,9
2,9.3,9.75,10.2
5,8.8,9.18,9.6
7,7.8,8.3,9
3,9,10.67,12.1
3,6.2,6.37,6.6
3,7.9,8.37,9.2
5,6.5,6.96,7.4
